iter	Logloss
0	0.6606913864
1	0.6316169023
2	0.5979944337
3	0.5707963968
4	0.54839153
5	0.5298628958
6	0.5124991896
7	0.4944154623
8	0.4788165548
9	0.4645776342
10	0.4521364955
11	0.4386751737
12	0.4255429073
13	0.4180652825
14	0.4092020949
15	0.4011932878
16	0.3927813637
17	0.3856210025
18	0.3793205509
19	0.3740120618
20	0.3687234329
21	0.3643552946
22	0.359266563
23	0.3550363809
24	0.3513800707
25	0.3475595159
26	0.3425724865
27	0.3388839528
28	0.335423497
29	0.3324650148
30	0.3293644618
31	0.3270780069
32	0.3248662878
33	0.3221041044
34	0.3205611175
35	0.3183401062
36	0.3167359153
37	0.3151625189
38	0.3132084882
39	0.3115352374
40	0.3097310194
41	0.3075351427
42	0.3061274461
43	0.3047400079
44	0.3030570658
45	0.3016921029
46	0.300571151
47	0.2979601987
48	0.2965992536
49	0.2951961779
50	0.2939542433
51	0.2923870341
52	0.2912972738
53	0.289251648
54	0.2881700033
55	0.2870906811
56	0.2851113096
57	0.284190742
58	0.2834421359
59	0.2825903605
60	0.2814559596
61	0.2799597394
62	0.2786404545
63	0.2770456275
64	0.2757576295
65	0.2748333262
66	0.2740984211
67	0.2728966532
68	0.2724900087
69	0.271889722
70	0.2703889727
71	0.2691933313
72	0.2678152988
73	0.2672490663
74	0.2663857252
75	0.2659228184
76	0.2650906264
77	0.2644649181
78	0.2636280063
79	0.2625348768
80	0.2611191533
81	0.2606102216
82	0.2596494476
83	0.2588870741
84	0.2578246835
85	0.2569022018
86	0.2562302101
87	0.2558036517
88	0.2548144026
89	0.2544844052
90	0.2535551262
91	0.2531618563
92	0.2529124907
93	0.2521192066
94	0.2511664037
95	0.2508960144
96	0.2503676955
97	0.2497783617
98	0.2487033395
99	0.2484552262
100	0.2476239537
101	0.2472055701
102	0.2468364703
103	0.2460447761
104	0.2456084141
105	0.2452940536
106	0.2446551508
107	0.2441491651
108	0.2437294343
109	0.2428897724
110	0.2421443144
111	0.2419351168
112	0.240752343
113	0.2403192947
114	0.2397558918
115	0.2397245546
116	0.238304242
117	0.2376165906
118	0.2366949725
119	0.2352623455
120	0.2345991137
121	0.2338641979
122	0.2325064969
123	0.2317119211
124	0.2310584471
125	0.2305857181
126	0.2303579735
127	0.2297045508
128	0.2290133175
129	0.2280232402
130	0.2271427272
131	0.2267841792
132	0.2264939771
133	0.22547754
134	0.2251475812
135	0.2242378235
136	0.2236905993
137	0.2231190752
138	0.2224170763
139	0.221492035
140	0.2213357335
141	0.2209718694
142	0.220100259
143	0.2191059309
144	0.2184904209
145	0.217922862
146	0.2173693241
147	0.2161695659
148	0.2157208155
149	0.2148884534
150	0.2144065635
151	0.2142400131
152	0.2139043724
153	0.213260671
154	0.2125290858
155	0.211646235
156	0.211090764
157	0.2104828255
158	0.2099257849
159	0.2094619056
160	0.2084546872
161	0.2078555614
162	0.2071403302
163	0.2065187859
164	0.2061458489
165	0.2059253327
166	0.2053663473
167	0.2045253463
168	0.2041583166
169	0.2041217631
170	0.2038217919
171	0.2031142809
172	0.2028909455
173	0.202092133
174	0.2016287136
175	0.2009162035
176	0.2008138856
177	0.2008019588
178	0.2005141347
179	0.2004329184
180	0.1997529933
181	0.199742366
182	0.1993397747
183	0.1984005593
184	0.1982602471
185	0.1972256037
186	0.1965108656
187	0.1961291725
188	0.1960407213
189	0.1954136742
190	0.1946421152
191	0.1946078111
192	0.1942443433
193	0.1933636849
194	0.1931564977
195	0.1923850393
196	0.1923615818
197	0.1923321861
198	0.1919519651
199	0.1916457882
