iter	Passed	Remaining
0	4	806
1	7	788
2	11	778
3	16	796
4	20	804
5	25	814
6	29	824
7	34	830
8	39	843
9	44	847
10	49	849
11	54	852
12	59	853
13	64	853
14	69	854
15	74	854
16	79	857
17	84	855
18	89	853
19	94	850
20	99	844
21	103	841
22	109	839
23	113	835
24	119	833
25	124	832
26	129	827
27	134	824
28	138	819
29	143	814
30	148	810
31	153	806
32	158	800
33	162	795
34	167	789
35	172	784
36	177	780
37	181	775
38	186	771
39	191	766
40	196	761
41	201	756
42	205	751
43	210	747
44	215	743
45	220	739
46	225	734
47	230	731
48	236	729
49	241	725
50	246	721
51	251	716
52	256	711
53	261	706
54	266	701
55	270	696
56	276	692
57	280	687
58	285	683
59	290	678
60	295	673
61	300	669
62	305	664
63	310	659
64	315	655
65	320	650
66	325	645
67	329	640
68	334	635
69	339	630
70	344	625
71	349	621
72	354	617
73	359	611
74	364	607
75	369	602
76	374	597
77	379	592
78	383	587
79	388	582
80	393	577
81	398	573
82	403	569
83	408	564
84	414	561
85	420	557
86	425	553
87	431	548
88	437	545
89	442	540
90	447	536
91	452	531
92	457	526
93	462	522
94	467	517
95	472	512
96	477	507
97	482	502
98	488	498
99	495	495
100	501	491
101	507	487
102	512	482
103	518	478
104	526	476
105	534	473
106	539	468
107	544	464
108	550	459
109	554	454
110	559	448
111	564	443
112	569	438
113	573	432
114	578	427
115	583	422
116	588	417
117	593	412
118	597	407
119	602	401
120	607	396
121	613	391
122	618	387
123	623	382
124	628	377
125	633	372
126	638	367
127	644	362
128	649	357
129	654	352
130	660	347
131	666	343
132	671	338
133	677	333
134	682	328
135	689	324
136	694	319
137	699	314
138	704	309
139	709	304
140	714	298
141	719	293
142	723	288
143	728	283
144	733	278
145	738	273
146	743	267
147	748	262
148	752	257
149	757	252
150	762	247
151	768	242
152	773	237
153	778	232
154	783	227
155	788	222
156	793	217
157	799	212
158	805	207
159	810	202
160	817	197
161	822	193
162	828	188
163	833	182
164	839	178
165	845	173
166	850	167
167	855	162
168	861	158
169	866	152
170	871	147
171	876	142
172	881	137
173	886	132
174	890	127
175	895	122
176	900	117
177	903	111
178	909	106
179	913	101
180	918	96
181	923	91
182	928	86
183	933	81
184	938	76
185	942	70
186	947	65
187	952	60
188	957	55
189	962	50
190	968	45
191	973	40
192	978	35
193	984	30
194	990	25
195	995	20
196	1000	15
197	1005	10
198	1010	5
199	1015	0
